id,order_date,company_id,customer_id,product_id,units
0,2024-05-02,39,193,98,19
1,2024-02-22,44,63,428,46
2,2024-02-03,45,31,298,27
3,2024-05-06,9,14,145,19
4,2024-02-11,6,25,28,7
5,2024-01-22,33,44,531,35
6,2024-01-19,10,190,301,34
7,2024-02-17,33,151,314,48
8,2024-01-23,14,148,163,38
9,2024-03-04,29,132,698,37
10,2024-03-28,36,193,553,46
11,2024-04-23,43,34,385,11
12,2024-01-15,40,93,326,26
13,2024-01-18,20,150,624,47
14,2024-03-06,37,11,564,9
15,2024-04-19,20,46,146,45
16,2024-03-10,11,32,685,45
17,2024-03-09,0,194,101,20
18,2024-04-09,16,81,481,13
19,2024-04-21,18,7,436,6
20,2024-02-23,4,55,844,13
21,2024-03-30,13,63,361,10
22,2024-04-21,46,132,321,22
23,2024-02-29,37,188,128,27
24,2024-04-25,7,194,176,46
25,2024-03-18,12,32,883,50
26,2024-04-21,4,160,930,12
27,2024-04-11,45,7,652,36
28,2024-02-28,17,193,733,19
29,2024-05-12,9,102,89,41
30,2024-02-10,1,174,355,43
31,2024-05-05,45,30,300,38
32,2024-02-12,24,14,633,40
33,2024-01-21,26,134,938,41
34,2024-03-07,2,45,57,36
35,2024-02-15,13,132,121,29
36,2024-01-26,36,180,19,22
37,2024-01-20,25,58,240,28
38,2024-04-13,49,59,931,4
39,2024-02-05,29,78,402,45
40,2024-02-10,48,24,607,50
41,2024-02-22,25,95,936,45
42,2024-01-06,14,141,627,39
43,2024-05-01,1,149,746,48
44,2024-03-24,33,169,524,42
45,2024-05-09,30,30,197,15
46,2024-01-14,17,43,552,25
47,2024-04-23,14,199,917,2
48,2024-02-11,33,28,567,11
49,2024-01-29,35,95,873,35
50,2024-01-29,11,137,895,34
51,2024-03-07,10,162,495,32
52,2024-04-01,27,170,377,46
53,2024-05-07,30,138,122,24
54,2024-02-24,34,52,350,26
55,2024-03-04,15,144,695,19
56,2024-03-13,35,82,447,39
57,2024-01-14,20,64,466,37
58,2024-02-13,8,154,317,9
59,2024-05-14,46,84,987,18
60,2024-05-15,13,106,719,39
61,2024-04-19,17,4,318,17
62,2024-04-04,29,158,380,38
63,2024-02-02,21,125,341,35
64,2024-03-30,12,112,410,38
65,2024-04-04,7,33,493,34
66,2024-04-09,21,75,719,45
67,2024-03-05,46,183,836,48
68,2024-04-08,13,113,186,3
69,2024-02-05,46,42,700,37
70,2024-05-06,23,148,234,1
71,2024-02-25,48,152,476,12
72,2024-04-27,26,48,691,20
73,2024-01-20,47,53,480,25
74,2024-03-30,17,71,495,46
75,2024-01-26,17,140,831,25
76,2024-04-18,33,0,743,7
77,2024-04-18,18,149,881,44
78,2024-02-21,38,122,806,44
79,2024-04-07,27,159,328,19
80,2024-02-02,1,186,25,2
